index,noise_k,label,pred_origin,pred_my,pred_random,pred_lz,is_equal_my,is_equal_random,is_equal_lz
2-9,1,camel,plate_rack,plate_rack,plate_rack,plate_rack,True,True,True
2-10,1,cup,pedestal,pedestal,pedestal,pedestal,True,True,True
2-11,1,ray,electric_ray,electric_ray,electric_ray,electric_ray,True,True,True
2-12,1,leopard,cheetah,cheetah,cheetah,cheetah,True,True,True
2-13,1,tractor,thresher,thresher,thresher,thresher,True,True,True
2-14,1,rose,plunger,plunger,plunger,plunger,True,True,True
2-15,1,cattle,ox,ox,ox,ox,True,True,True
2-16,1,mushroom,mushroom,mushroom,mushroom,mushroom,True,True,True
2-17,1,tractor,thresher,thresher,thresher,thresher,True,True,True
2-18,1,lamp,spotlight,spotlight,spotlight,spotlight,True,True,True
2-19,1,orchid,hair_slide,velvet,velvet,velvet,False,False,False
3-0,1,bear,macaque,macaque,macaque,macaque,True,True,True
3-1,1,raccoon,sloth_bear,lion,lion,lion,False,False,False
3-2,1,forest,screen,screen,screen,screen,True,True,True
3-3,1,apple,Granny_Smith,Granny_Smith,Granny_Smith,Granny_Smith,True,True,True
3-4,1,rabbit,wire-haired_fox_terrier,wire-haired_fox_terrier,wire-haired_fox_terrier,wire-haired_fox_terrier,True,True,True
3-5,1,pickup_truck,amphibian,amphibian,amphibian,amphibian,True,True,True
3-6,1,dinosaur,triceratops,triceratops,triceratops,triceratops,True,True,True
3-7,1,boy,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
3-8,1,rabbit,Sealyham_terrier,Dandie_Dinmont,Dandie_Dinmont,Dandie_Dinmont,False,False,False
3-9,1,chair,plate_rack,plate_rack,plate_rack,plate_rack,True,True,True
3-10,1,bicycle,milk_can,milk_can,milk_can,milk_can,True,True,True
3-11,1,trout,triceratops,gong,gong,gong,False,False,False
3-12,1,chair,plate_rack,plate_rack,plate_rack,plate_rack,True,True,True
3-13,1,hamster,hamster,hamster,hamster,hamster,True,True,True
3-14,1,television,entertainment_center,entertainment_center,entertainment_center,entertainment_center,True,True,True
3-15,1,skunk,langur,langur,langur,langur,True,True,True
3-16,1,snail,dugong,dugong,dugong,dugong,True,True,True
3-17,1,clock,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
3-18,1,man,swimming_trunks,swimming_trunks,swimming_trunks,swimming_trunks,True,True,True
3-19,1,hamster,Japanese_spaniel,Japanese_spaniel,Japanese_spaniel,Japanese_spaniel,True,True,True
4-0,1,fox,fox_squirrel,cheetah,cheetah,cheetah,False,False,False
4-1,1,butterfly,howler_monkey,howler_monkey,howler_monkey,howler_monkey,True,True,True
4-2,1,bottle,nipple,nipple,nipple,nipple,True,True,True
4-3,1,kangaroo,Mexican_hairless,Mexican_hairless,Mexican_hairless,Mexican_hairless,True,True,True
4-4,1,mouse,tick,tick,tick,tick,True,True,True
4-5,1,crab,isopod,isopod,isopod,isopod,True,True,True
4-6,1,snake,knot,knot,knot,knot,True,True,True
4-7,1,possum,can_opener,can_opener,can_opener,can_opener,True,True,True
4-8,1,lizard,common_newt,common_newt,common_newt,common_newt,True,True,True
4-9,1,shrew,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
4-10,1,pickup_truck,espresso_maker,espresso_maker,espresso_maker,espresso_maker,True,True,True
4-11,1,spider,triceratops,triceratops,triceratops,triceratops,True,True,True
4-12,1,lamp,milk_can,tobacco_shop,tobacco_shop,tobacco_shop,False,False,False
4-13,1,wolf,Persian_cat,Persian_cat,Persian_cat,Persian_cat,True,True,True
4-14,1,sunflower,rock_beauty,rock_beauty,rock_beauty,rock_beauty,True,True,True
4-15,1,ray,electric_ray,electric_ray,electric_ray,electric_ray,True,True,True
4-16,1,bicycle,affenpinscher,affenpinscher,affenpinscher,affenpinscher,True,True,True
4-17,1,whale,grey_whale,grey_whale,grey_whale,grey_whale,True,True,True
4-18,1,rabbit,Sealyham_terrier,Sealyham_terrier,Sealyham_terrier,Sealyham_terrier,True,True,True
4-19,1,turtle,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
5-0,1,dinosaur,triceratops,triceratops,triceratops,triceratops,True,True,True
5-1,1,mushroom,maraca,maraca,maraca,maraca,True,True,True
5-2,1,porcupine,Irish_water_spaniel,Irish_water_spaniel,Irish_water_spaniel,Irish_water_spaniel,True,True,True
5-3,1,raccoon,platypus,platypus,platypus,platypus,True,True,True
5-4,1,snail,gong,gong,gong,gong,True,True,True
5-5,1,cloud,ice_bear,ice_bear,ice_bear,ice_bear,True,True,True
5-6,1,couch,lion,lion,lion,lion,True,True,True
5-7,1,maple_tree,rotisserie,rotisserie,rotisserie,rotisserie,True,True,True
5-8,1,tank,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
5-9,1,man,pedestal,pedestal,pedestal,pedestal,True,True,True
5-10,1,lamp,pedestal,pedestal,pedestal,pedestal,True,True,True
5-11,1,train,clog,clog,clog,clog,True,True,True
5-12,1,turtle,goldfish,goldfish,goldfish,goldfish,True,True,True
5-13,1,sea,killer_whale,seashore,seashore,seashore,False,False,False
5-14,1,snake,sidewinder,sidewinder,sidewinder,sidewinder,True,True,True
5-15,1,boy,pedestal,pedestal,pedestal,pedestal,True,True,True
5-16,1,streetcar,passenger_car,passenger_car,passenger_car,passenger_car,True,True,True
5-17,1,raccoon,patas,patas,patas,patas,True,True,True
5-18,1,dinosaur,affenpinscher,affenpinscher,affenpinscher,affenpinscher,True,True,True
5-19,1,whale,dugong,dugong,dugong,dugong,True,True,True
6-0,1,tractor,thresher,thresher,thresher,thresher,True,True,True
6-1,1,table,chime,chime,chime,chime,True,True,True
6-2,1,bowl,frying_pan,frying_pan,frying_pan,frying_pan,True,True,True
6-3,1,keyboard,plate_rack,plate_rack,plate_rack,plate_rack,True,True,True
6-4,1,mountain,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
6-5,1,bicycle,container_ship,container_ship,container_ship,container_ship,True,True,True
6-6,1,kangaroo,otterhound,otterhound,otterhound,otterhound,True,True,True
6-7,1,snake,ringneck_snake,ringneck_snake,ringneck_snake,ringneck_snake,True,True,True
6-8,1,whale,frying_pan,frying_pan,frying_pan,frying_pan,True,True,True
6-9,1,tractor,thresher,thresher,thresher,thresher,True,True,True
6-10,1,orchid,monarch,monarch,monarch,monarch,True,True,True
6-11,1,rocket,letter_opener,letter_opener,letter_opener,letter_opener,True,True,True
6-12,1,cup,punching_bag,punching_bag,punching_bag,punching_bag,True,True,True
6-13,1,oak_tree,platypus,platypus,platypus,platypus,True,True,True
6-14,1,dolphin,grey_whale,grey_whale,grey_whale,grey_whale,True,True,True
6-15,1,bee,patas,patas,patas,patas,True,True,True
6-16,1,turtle,golden_retriever,Dandie_Dinmont,Dandie_Dinmont,Dandie_Dinmont,False,False,False
6-17,1,raccoon,Madagascar_cat,Madagascar_cat,Madagascar_cat,Madagascar_cat,True,True,True
6-18,1,lamp,gong,gong,gong,gong,True,True,True
6-19,1,orchid,velvet,velvet,velvet,velvet,True,True,True
7-0,1,television,hand-held_computer,hand-held_computer,hand-held_computer,hand-held_computer,True,True,True
7-1,1,sweet_pepper,maraca,maraca,maraca,maraca,True,True,True
7-2,1,keyboard,space_bar,space_bar,space_bar,space_bar,True,True,True
7-3,1,apple,croquet_ball,croquet_ball,croquet_ball,croquet_ball,True,True,True
7-4,1,motorcycle,motor_scooter,motor_scooter,motor_scooter,motor_scooter,True,True,True
7-5,1,telephone,clog,clog,clog,clog,True,True,True
7-6,1,tulip,maraca,maraca,maraca,maraca,True,True,True
7-7,1,television,screen,screen,screen,screen,True,True,True
7-8,1,plain,black_grouse,black_grouse,black_grouse,black_grouse,True,True,True
7-9,1,willow_tree,worm_fence,thresher,thresher,thresher,False,False,False
7-10,1,oak_tree,thresher,thresher,thresher,thresher,True,True,True
7-11,1,girl,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
7-12,1,shark,dugong,dugong,dugong,dugong,True,True,True
7-13,1,oak_tree,Kerry_blue_terrier,Kerry_blue_terrier,Kerry_blue_terrier,Kerry_blue_terrier,True,True,True
7-14,1,poppy,tick,tick,tick,tick,True,True,True
7-15,1,man,milk_can,milk_can,milk_can,milk_can,True,True,True
7-16,1,bowl,loupe,loupe,loupe,loupe,True,True,True
7-17,1,tiger,Brabancon_griffon,Brabancon_griffon,Brabancon_griffon,Brabancon_griffon,True,True,True
7-18,1,wardrobe,chiffonier,chiffonier,chiffonier,chiffonier,True,True,True
7-19,1,bear,colobus,colobus,colobus,colobus,True,True,True
8-0,1,mushroom,Dandie_Dinmont,Dandie_Dinmont,Dandie_Dinmont,Dandie_Dinmont,True,True,True
8-1,1,castle,palace,palace,palace,palace,True,True,True
8-2,1,cup,letter_opener,letter_opener,letter_opener,letter_opener,True,True,True
8-3,1,dolphin,dugong,dugong,dugong,dugong,True,True,True
8-4,1,spider,barn_spider,barn_spider,barn_spider,barn_spider,True,True,True
8-5,1,tiger,tiger,tiger,tiger,tiger,True,True,True
8-6,1,sunflower,rock_beauty,rock_beauty,rock_beauty,rock_beauty,True,True,True
8-7,1,lawn_mower,chain_saw,chain_saw,chain_saw,chain_saw,True,True,True
8-8,1,apple,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
8-9,1,streetcar,moving_van,moving_van,moving_van,moving_van,True,True,True
8-10,1,rabbit,fox_squirrel,Sussex_spaniel,Sussex_spaniel,Sussex_spaniel,False,False,False
8-11,1,sea,bearskin,bearskin,bearskin,bearskin,True,True,True
8-12,1,sweet_pepper,punching_bag,punching_bag,punching_bag,punching_bag,True,True,True
8-13,1,cattle,sorrel,sorrel,sorrel,sorrel,True,True,True
8-14,1,boy,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
8-15,1,seal,otterhound,otterhound,otterhound,otterhound,True,True,True
8-16,1,wardrobe,plate_rack,plate_rack,plate_rack,plate_rack,True,True,True
8-17,1,oak_tree,Irish_water_spaniel,Irish_water_spaniel,Irish_water_spaniel,Irish_water_spaniel,True,True,True
8-18,1,bridge,colobus,colobus,colobus,colobus,True,True,True
8-19,1,palm_tree,tick,tick,tick,tick,True,True,True
9-0,1,plain,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
9-1,1,train,container_ship,assault_rifle,assault_rifle,assault_rifle,False,False,False
9-2,1,fox,red_fox,red_fox,red_fox,red_fox,True,True,True
9-3,1,bowl,knee_pad,knee_pad,knee_pad,knee_pad,True,True,True
9-4,1,poppy,goldfish,goldfish,goldfish,goldfish,True,True,True
9-5,1,aquarium_fish,rock_beauty,rock_beauty,rock_beauty,rock_beauty,True,True,True
9-6,1,lawn_mower,chain_saw,chain_saw,chain_saw,chain_saw,True,True,True
9-7,1,possum,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
9-8,1,caterpillar,bluetick,bluetick,bluetick,bluetick,True,True,True
9-9,1,telephone,lotion,lotion,lotion,lotion,True,True,True
9-10,1,otter,platypus,milk_can,milk_can,milk_can,False,False,False
9-11,1,mushroom,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
9-12,1,leopard,bluetick,bluetick,bluetick,bluetick,True,True,True
9-13,1,raccoon,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
9-14,1,pickup_truck,thresher,thresher,thresher,thresher,True,True,True
9-15,1,rocket,space_shuttle,space_shuttle,space_shuttle,space_shuttle,True,True,True
9-16,1,worm,nematode,nematode,nematode,nematode,True,True,True
9-17,1,oak_tree,custard_apple,custard_apple,custard_apple,custard_apple,True,True,True
9-18,1,camel,sorrel,sorrel,sorrel,sorrel,True,True,True
9-19,1,forest,pedestal,pedestal,pedestal,pedestal,True,True,True
10-0,1,squirrel,pedestal,pedestal,pedestal,pedestal,True,True,True
10-1,1,beaver,African_hunting_dog,African_hunting_dog,African_hunting_dog,African_hunting_dog,True,True,True
10-2,1,television,screen,screen,screen,screen,True,True,True
10-3,1,beaver,affenpinscher,affenpinscher,affenpinscher,affenpinscher,True,True,True
10-4,1,mountain,grey_whale,grey_whale,grey_whale,grey_whale,True,True,True
10-5,1,shrew,Indian_elephant,Indian_elephant,Indian_elephant,Indian_elephant,True,True,True
10-6,1,pine_tree,worm_fence,worm_fence,worm_fence,worm_fence,True,True,True
10-7,1,orange,hot_pot,hot_pot,hot_pot,hot_pot,True,True,True
10-8,1,clock,analog_clock,analog_clock,analog_clock,analog_clock,True,True,True
10-9,1,motorcycle,chain_saw,chain_saw,chain_saw,chain_saw,True,True,True
10-10,1,bicycle,thresher,thresher,thresher,thresher,True,True,True
10-11,1,dinosaur,triceratops,triceratops,triceratops,triceratops,True,True,True
10-12,1,beetle,cocktail_shaker,cocktail_shaker,cocktail_shaker,cocktail_shaker,True,True,True
10-13,1,pickup_truck,moving_van,moving_van,moving_van,moving_van,True,True,True
10-14,1,lawn_mower,frying_pan,frying_pan,frying_pan,frying_pan,True,True,True
10-15,1,sweet_pepper,punching_bag,punching_bag,punching_bag,punching_bag,True,True,True
10-16,1,train,moving_van,moving_van,moving_van,moving_van,True,True,True
10-17,1,mountain,grey_whale,grey_whale,grey_whale,grey_whale,True,True,True
10-18,1,tractor,thresher,thresher,thresher,thresher,True,True,True
10-19,1,elephant,Indian_elephant,Indian_elephant,Indian_elephant,Indian_elephant,True,True,True
11-0,1,raccoon,Madagascar_cat,Madagascar_cat,Madagascar_cat,Madagascar_cat,True,True,True
11-1,1,skunk,tiger,tiger,tiger,tiger,True,True,True
11-2,1,motorcycle,moving_van,moving_van,moving_van,moving_van,True,True,True
11-3,1,television,punching_bag,punching_bag,punching_bag,punching_bag,True,True,True
11-4,1,man,jersey,Windsor_tie,Windsor_tie,Windsor_tie,False,False,False
11-5,1,orange,ping-pong_ball,ping-pong_ball,ping-pong_ball,ping-pong_ball,True,True,True
11-6,1,man,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
11-7,1,apple,maraca,maraca,maraca,maraca,True,True,True
11-8,1,butterfly,wire-haired_fox_terrier,wire-haired_fox_terrier,wire-haired_fox_terrier,wire-haired_fox_terrier,True,True,True
11-9,1,boy,punching_bag,punching_bag,punching_bag,punching_bag,True,True,True
11-10,1,raccoon,platypus,platypus,platypus,platypus,True,True,True
11-11,1,lion,lion,lion,lion,lion,True,True,True
11-12,1,mountain,otter,ox,ox,ox,False,False,False
11-13,1,dinosaur,triceratops,triceratops,triceratops,triceratops,True,True,True
11-14,1,girl,polecat,siamang,siamang,siamang,False,False,False
11-15,1,flatfish,hartebeest,hartebeest,hartebeest,hartebeest,True,True,True
11-16,1,apple,punching_bag,punching_bag,punching_bag,punching_bag,True,True,True
11-17,1,orchid,velvet,velvet,velvet,velvet,True,True,True
11-18,1,crab,goldfish,goldfish,goldfish,goldfish,True,True,True
11-19,1,streetcar,moving_van,moving_van,moving_van,moving_van,True,True,True
12-0,1,table,upright,upright,upright,upright,True,True,True
12-1,1,wardrobe,shoji,shoji,shoji,shoji,True,True,True
12-2,1,whale,rock_beauty,rock_beauty,rock_beauty,rock_beauty,True,True,True
12-3,1,crab,bolo_tie,bolo_tie,bolo_tie,bolo_tie,True,True,True
12-4,1,rocket,planetarium,planetarium,planetarium,planetarium,True,True,True
12-5,1,mountain,worm_fence,worm_fence,worm_fence,worm_fence,True,True,True
12-6,1,butterfly,rock_beauty,rock_beauty,rock_beauty,rock_beauty,True,True,True
12-7,1,lobster,Petri_dish,Petri_dish,Petri_dish,Petri_dish,True,True,True
12-8,1,mountain,dugong,dugong,dugong,dugong,True,True,True
12-9,1,keyboard,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
12-10,1,girl,orangutan,orangutan,orangutan,orangutan,True,True,True
12-11,1,worm,eggnog,eggnog,eggnog,eggnog,True,True,True
12-12,1,shrew,coyote,coyote,coyote,coyote,True,True,True
12-13,1,sweet_pepper,bell_pepper,bell_pepper,bell_pepper,bell_pepper,True,True,True
12-14,1,telephone,espresso_maker,espresso_maker,espresso_maker,espresso_maker,True,True,True
12-15,1,wolf,toy_terrier,toy_terrier,toy_terrier,toy_terrier,True,True,True
12-16,1,lawn_mower,thresher,thresher,thresher,thresher,True,True,True
12-17,1,sea,hartebeest,hartebeest,hartebeest,hartebeest,True,True,True
12-18,1,forest,three-toed_sloth,three-toed_sloth,three-toed_sloth,three-toed_sloth,True,True,True
12-19,1,castle,gondola,gondola,gondola,gondola,True,True,True
13-0,1,sunflower,daisy,daisy,daisy,daisy,True,True,True
13-1,1,elephant,Indian_elephant,Indian_elephant,Indian_elephant,Indian_elephant,True,True,True
13-2,1,tulip,daisy,daisy,daisy,daisy,True,True,True
13-3,1,tractor,moving_van,moving_van,moving_van,moving_van,True,True,True
13-4,1,apple,Granny_Smith,Granny_Smith,Granny_Smith,Granny_Smith,True,True,True
13-5,1,sweet_pepper,bell_pepper,bell_pepper,bell_pepper,bell_pepper,True,True,True
13-6,1,plain,hartebeest,hartebeest,hartebeest,hartebeest,True,True,True
13-7,1,maple_tree,strawberry,strawberry,strawberry,strawberry,True,True,True
13-8,1,squirrel,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
13-9,1,man,curly-coated_retriever,curly-coated_retriever,curly-coated_retriever,curly-coated_retriever,True,True,True
13-10,1,willow_tree,chiton,chiton,chiton,chiton,True,True,True
13-11,1,keyboard,desktop_computer,desktop_computer,desktop_computer,desktop_computer,True,True,True
13-12,1,lamp,revolver,revolver,revolver,revolver,True,True,True
13-13,1,dolphin,killer_whale,killer_whale,killer_whale,killer_whale,True,True,True
13-14,1,lobster,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
13-15,1,turtle,combination_lock,combination_lock,combination_lock,combination_lock,True,True,True
13-16,1,skyscraper,trimaran,trimaran,trimaran,trimaran,True,True,True
13-17,1,aquarium_fish,rock_beauty,rock_beauty,rock_beauty,rock_beauty,True,True,True
13-18,1,dinosaur,pedestal,pedestal,pedestal,pedestal,True,True,True
13-19,1,wolf,dhole,dhole,dhole,dhole,True,True,True
14-0,1,chair,plate_rack,plate_rack,plate_rack,plate_rack,True,True,True
14-1,1,woman,sweatshirt,sweatshirt,sweatshirt,sweatshirt,True,True,True
14-2,1,chair,espresso_maker,face_powder,face_powder,face_powder,False,False,False
14-3,1,house,mobile_home,mobile_home,mobile_home,mobile_home,True,True,True
14-4,1,lion,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
14-5,1,raccoon,polecat,polecat,polecat,polecat,True,True,True
14-6,1,sea,ice_bear,ice_bear,ice_bear,ice_bear,True,True,True
14-7,1,rabbit,Angora,Angora,Angora,Angora,True,True,True
14-8,1,shark,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
14-9,1,wolf,red_wolf,red_wolf,red_wolf,red_wolf,True,True,True
14-10,1,orange,lemon,consomme,consomme,consomme,False,False,False
14-11,1,raccoon,triceratops,triceratops,triceratops,triceratops,True,True,True
14-12,1,lamp,hair_spray,hair_spray,hair_spray,hair_spray,True,True,True
14-13,1,castle,castle,castle,castle,castle,True,True,True
14-14,1,beetle,ant,ant,ant,ant,True,True,True
14-15,1,tiger,tiger,tiger,tiger,tiger,True,True,True
14-16,1,bus,moving_van,moving_van,moving_van,moving_van,True,True,True
14-17,1,lawn_mower,lawn_mower,lawn_mower,lawn_mower,lawn_mower,True,True,True
14-18,1,couch,plate_rack,plate_rack,plate_rack,plate_rack,True,True,True
14-19,1,snake,muzzle,bolo_tie,bolo_tie,bolo_tie,False,False,False
15-0,1,skunk,Madagascar_cat,Madagascar_cat,Madagascar_cat,Madagascar_cat,True,True,True
15-1,1,shrew,lion,lion,lion,lion,True,True,True
15-2,1,squirrel,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
15-3,1,can,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
15-4,1,woman,oboe,oboe,oboe,oboe,True,True,True
15-5,1,worm,nematode,nematode,nematode,nematode,True,True,True
15-6,1,porcupine,fox_squirrel,fox_squirrel,fox_squirrel,fox_squirrel,True,True,True
15-7,1,train,dugong,dugong,dugong,dugong,True,True,True
15-8,1,pickup_truck,moving_van,moving_van,moving_van,moving_van,True,True,True
15-9,1,tank,pirate,pirate,pirate,pirate,True,True,True
15-10,1,bear,langur,langur,langur,langur,True,True,True
15-11,1,porcupine,milk_can,milk_can,milk_can,milk_can,True,True,True
15-12,1,sea,promontory,promontory,promontory,promontory,True,True,True
15-13,1,elephant,lion,lion,lion,lion,True,True,True
15-14,1,shrew,sloth_bear,sloth_bear,sloth_bear,sloth_bear,True,True,True
15-15,1,clock,gong,gong,gong,gong,True,True,True
15-16,1,snail,Madagascar_cat,Madagascar_cat,Madagascar_cat,Madagascar_cat,True,True,True
15-17,1,ray,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
15-18,1,lizard,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
15-19,1,bottle,nipple,nipple,nipple,nipple,True,True,True
16-0,1,hamster,ocarina,ocarina,ocarina,ocarina,True,True,True
16-1,1,rose,maraca,maraca,maraca,maraca,True,True,True
16-2,1,snail,maraca,maraca,maraca,maraca,True,True,True
16-3,1,woman,milk_can,milk_can,milk_can,milk_can,True,True,True
16-4,1,forest,orangutan,orangutan,orangutan,orangutan,True,True,True
16-5,1,wardrobe,chiffonier,chiffonier,chiffonier,chiffonier,True,True,True
16-6,1,bear,brown_bear,brown_bear,brown_bear,brown_bear,True,True,True
16-7,1,sea,lakeside,lakeside,lakeside,lakeside,True,True,True
16-8,1,cockroach,barn_spider,barn_spider,barn_spider,barn_spider,True,True,True
16-9,1,table,magnetic_compass,magnetic_compass,magnetic_compass,magnetic_compass,True,True,True
16-10,1,elephant,langur,langur,langur,langur,True,True,True
16-11,1,elephant,tusker,tusker,tusker,tusker,True,True,True
16-12,1,crocodile,sidewinder,sidewinder,sidewinder,sidewinder,True,True,True
16-13,1,mouse,Brabancon_griffon,Brabancon_griffon,Brabancon_griffon,Brabancon_griffon,True,True,True
16-14,1,butterfly,Windsor_tie,Windsor_tie,Windsor_tie,Windsor_tie,True,True,True
16-15,1,boy,tobacco_shop,tobacco_shop,tobacco_shop,tobacco_shop,True,True,True
16-16,1,ray,electric_ray,electric_ray,electric_ray,electric_ray,True,True,True
16-17,1,table,milk_can,milk_can,milk_can,milk_can,True,True,True
16-18,1,tiger,tiger,tiger,tiger,tiger,True,True,True
16-19,1,caterpillar,lesser_panda,lesser_panda,lesser_panda,lesser_panda,True,True,True
17-0,1,spider,barn_spider,barn_spider,barn_spider,barn_spider,True,True,True
17-1,1,bowl,face_powder,face_powder,face_powder,face_powder,True,True,True
17-2,1,motorcycle,chain_saw,chain_saw,chain_saw,chain_saw,True,True,True
17-3,1,keyboard,space_bar,space_bar,space_bar,space_bar,True,True,True
17-4,1,oak_tree,lakeside,planetarium,planetarium,planetarium,False,False,False
17-5,1,elephant,Indian_elephant,Indian_elephant,Indian_elephant,Indian_elephant,True,True,True
17-6,1,pine_tree,sloth_bear,sloth_bear,sloth_bear,sloth_bear,True,True,True
17-7,1,aquarium_fish,goldfish,goldfish,goldfish,goldfish,True,True,True
17-8,1,girl,sweatshirt,jersey,jersey,jersey,False,False,False
17-9,1,bed,chain_saw,chain_saw,chain_saw,chain_saw,True,True,True
17-10,1,road,frying_pan,frying_pan,frying_pan,frying_pan,True,True,True
17-11,1,spider,whiskey_jug,whiskey_jug,whiskey_jug,whiskey_jug,True,True,True
17-12,1,pine_tree,jaguar,orangutan,orangutan,orangutan,False,False,False
17-13,1,orange,ping-pong_ball,ping-pong_ball,ping-pong_ball,ping-pong_ball,True,True,True
17-14,1,shark,dugong,dugong,dugong,dugong,True,True,True
17-15,1,elephant,Indian_elephant,Indian_elephant,Indian_elephant,Indian_elephant,True,True,True
